Subject;BPM;Gender;Age;Nationality;Perceived appetite;Liking for focaccia;Liking for music;Water consumption (ml);Food consumption (g);Bites (n.);Bites rate (s);Sips (n.);Sips rate (s);Chews (n.);Chewing total duration (s);Chewing duration mean (s);Chewing rate (s);Consumption total duration (s);Active;Affectionate;Adventurous;Aggressive;Bored;Calm;Daring;Disgusted;Eager;Energetic;Enthusiastic;Free;Friendly;Glad;Good;Good-natured;Guilty;Happy;Interested;Joyful;Loving;Merry;Mild;Nostalgic;Peaceful;Pleased;Pleasant;Polite;Quiet;Satisfied;Secure;Steady;Tame;Tender;Understanding;Warm;Whole;Wild;Worried
Sbj 001;85;Female;21;Italian;5;4;4;500;101;17;22,5;8;62,2;17;174,9;10,3;12,1;435,9;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 003;85;Male;26;Not Italian;1;8;7;0;139;30;16,2;0;0,0;30;292,8;9,8;6,5;485,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 004;85;Male;23;Italian;3;2;2;375;150;30;13,1;0;0,0;30;250,7;8,4;5,0;401,3;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Sbj 005;85;Male;20;Not Italian;6;4;8;185;45;8;47,6;4;144,9;8;251,2;31,4;17,1;488,8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 006;85;Female;23;Italian;2;7;8;135;73;21;10,3;1;0,0;21;151,0;7,2;3,2;226,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 007;85;Female;47;Italian;4;8;9;235;150;32;17,2;2;247,6;32;430,7;13,5;3,6;544,6;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
Sbj 008;145;Female;26;Not Italian;4;7;7;0;77;21;14,5;3;6,2;21;197,6;9,4;5,3;309,2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 009;85;Male;22;Italian;2;8;9;70;150;18;19,4;2;242,7;18;275,1;15,3;4,1;370,9;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 010;145;Female;48;Italian;3;8;5;0;96;15;12,0;0;0,0;15;148,6;9,9;2,6;188,7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Sbj 011;145;Female;22;Italian;3;8;9;235;90;21;15,1;7;20,0;20;208,3;10,4;6,0;326,8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 012;145;Female;21;Italian;5;8;8;120;150;35;15,2;2;192,0;34;386,5;11,4;4,3;535,7;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 017;145;Female;31;Not Italian;6;7;7;240;82;12;30,7;3;83,0;12;251,0;20,9;9,5;369,2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 018;145;Female;28;Italian;2;8;6;270;150;29;11,5;4;58,8;18;229,5;12,7;6,2;350,5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
Sbj 019;85;Male;24;Italian;2;8;7;500;150;13;15,6;0;0,0;13;168,3;12,9;2,4;199,1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Sbj 021;85;Male;25;Italian;2;8;6;0;150;23;13,6;0;0,0;23;257,0;11,2;2,8;320,6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
Sbj 022;85;Female;22;Italian;3;8;8;0;150;21;19,6;5;83,4;18;198,3;11,0;12,1;416,0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0
Sbj 023;85;Male;36;Italian;4;4;8;220;103;11;29,6;3;118,8;11;206,3;18,8;10,9;326,2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 024;85;Female;21;Italian;3;8;8;215;150;28;19,2;2;143,3;27;290,1;10,7;9,2;543,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Sbj 025;145;Female;26;Italian;3;8;6;150;150;34;11,2;5;89,1;32;279,9;8,7;3,1;379,4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 026;145;Female;18;Italian;6;8;6;140;64;9;29,6;2;10,0;8;193,3;24,2;10,2;266,1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Sbj 027;145;Female;25;Italian;4;7;5;125;105;23;16,0;4;33,8;23;222,6;9,7;6,4;364,4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 028;85;Female;24;Not Italian;8;7;8;110;25;4;45,8;3;127,5;4;81,6;20,4;28,0;261,1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 029;145;Female;26;Not Italian;7;8;9;160;60;7;15,7;1;0,0;7;82,6;11,8;3,9;123,2;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0
Sbj 030;145;Female;20;Italian;8;6;7;210;82;19;25,4;5;84,5;19;189,5;10,0;15,3;466,2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 032;145;Female;20;Italian;8;7;8;420;51;29;17,8;8;63,1;19;233,9;12,3;15,5;521,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 033;85;Male;22;Italian;4;8;7;390;127;20;8,5;0;0,0;14;141,5;10,1;2,5;176,2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 034;85;Male;23;Italian;8;8;8;500;150;20;12,3;4;73,0;20;176,5;8,8;3,7;257,9;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 035;85;Female;21;Italian;8;7;8;175;61;12;21,8;1;0,0;9;167,1;18,6;10,1;252,6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 036;145;Male;23;Italian;6;6;7;274;150;9;18,3;2;5,0;8;104,0;13,0;8,5;165,5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 037;85;Female;20;Italian;6;8;6;210;104;37;12,0;2;211,3;34;295,2;8,7;5,0;460,9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 038;85;Female;20;Italian;3;7;8;175;119;35;11,6;3;77,8;31;287,8;9,3;3,8;419,1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Sbj 040;85;Female;20;Italian;2;8;3;125;101;29;14,1;3;123,8;27;334,3;12,4;3,0;414,0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
Sbj 041;85;Female;21;Italian;9;4;5;125;57;9;22,3;1;0,0;9;117,5;13,1;9,0;193,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sbj 042;145;Female;21;Italian;5;7;7;80;93;17;17,1;1;0,0;16;245,8;15,4;2,5;289,2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 045;145;Male;22;Italian;5;2;2;500;97;14;22,9;3;143,4;11;262,9;23,9;7,3;342,5;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 047;145;Male;39;Italian;8;3;7;500;33;4;19,8;3;25,1;3;52,5;17,5;9,5;71,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sbj 050;85;Female;25;Italian;2;3;3;100;126;30;14,0;2;18,0;23;339,8;14,8;3,8;447,9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
Sbj 051;85;Female;25;Italian;4;7;8;345;104;19;35,7;4;230,7;19;377,0;19,8;15,9;702,5;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0
Sbj 052;145;Male;31;Italian;3;8;7;220;150;12;8,3;1;0,0;12;93,2;7,8;1,4;179,9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 053;85;Male;32;Italian;6;8;7;220;102;18;13,3;1;0,0;17;204,7;12,0;2,0;246,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 054;85;Male;20;Italian;4;5;8;270;99;15;25,9;5;102,6;13;327,2;25,2;5,9;417,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 056;85;Female;20;Not Italian;7;7;3;130;34;23;12,9;1;0,0;19;207,9;10,9;4,2;288,0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 057;85;Female;21;Not Italian;4;5;6;125;23;7;32,1;1;0,0;6;189,0;31,5;7,8;229,3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 058;85;Female;27;Not Italian;3;8;8;370;113;26;20,4;8;56,0;25;345,3;13,8;7,3;522,8;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 059;85;Male;25;Not Italian;6;4;4;80;67;22;21,7;0;0,0;19;349,1;18,4;7,2;479,3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Sbj 061;145;Male;23;Not Italian;6;3;6;500;93;26;16,9;10;37,5;21;315,9;15,0;6,0;455,1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1
Sbj 063;145;Male;23;Italian;6;6;7;185;41;8;26,9;1;0,0;6;173,3;28,9;5,5;202,2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Sbj 064;85;Female;22;Not Italian;5;4;6;175;100;20;24,5;5;107,3;20;352,5;17,6;7,0;494,5;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Sbj 065;145;Male;21;Italian;6;6;7;500;150;21;15,9;4;36,3;17;283,4;16,7;2,8;335,3;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 066;145;Male;20;Not Italian;7;8;7;255;150;23;16,9;2;325,2;17;312,6;18,4;4,7;410,0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sbj 067;145;Male;20;Not Italian;7;6;8;190;42;7;32,2;2;4,0;7;180,5;25,8;6,9;224,0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
Sbj 068;145;Male;21;Italian;4;7;4;140;150;24;14,2;1;0,0;21;269,0;12,8;3,6;343,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Sbj 079;145;Female;22;Italian;5;8;7;85;104;30;13,6;0;0,0;16;398,1;24,9;1,7;425,0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 081;85;Male;21;Italian;4;4;7;290;79;12;20,3;7;30,1;12;191,6;16,0;4,7;264,7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 083;85;Female;23;Italian;7;7;6;385;120;27;17,9;4;139,1;26;285,9;11,0;7,8;483,6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Sbj 084;145;Female;22;Italian;9;9;9;80;48;11;29,5;0;0,0;11;223,7;20,3;9,2;316,7;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
Sbj 087;145;Female;21;Italian;7;7;5;230;90;18;18,7;8;45,6;12;281,5;23,5;6,0;351,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 088;145;Female;20;Italian;7;8;8;40;112;17;17,3;2;124,5;16;230,4;14,4;4,2;305,5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 089;85;Male;23;Italian;4;6;7;240;150;23;15,6;0;0,0;22;297,1;13,5;2,9;360,0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 090;145;Female;23;Not Italian;7;5;7;45;73;9;17,0;0;0,0;9;104,0;11,6;6,2;156,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 091;145;Female;20;Italian;3;7;7;420;150;44;13,6;4;139,0;44;395,7;9,0;4,6;612,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
Sbj 092;85;Male;24;Italian;6;8;5;205;58;9;41,2;4;89,5;8;167,1;20,9;27,0;364,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 093;85;Female;24;Italian;5;7;8;230;93;25;15,7;3;78,9;21;302,2;14,4;4,3;426,6;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
Sbj 096;145;Female;21;Italian;5;7;9;115;106;21;14,5;3;62,6;16;200,5;12,5;7,0;312,8;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 097;85;Male;22;Not Italian;6;6;7;0;84;22;20,2;4;56,2;20;302,3;15,1;7,5;447,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 098;85;Female;25;Italian;3;8;4;345;150;1;21,9;4;96,8;18;270,4;15,0;8,0;421,1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 099;85;Male;26;Italian;6;6;6;160;54;24;10,4;3;26,7;24;168,2;7,0;3,4;321,3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
Sbj 101;85;Female;20;Italian;2;6;4;250;73;26;19,0;3;28,1;7;402,3;57,5;17,0;512,7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sbj 102;85;Female;23;Italian;6;2;1;120;115;20;14,8;2;3,0;19;237,8;12,5;3,0;293,5;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 103;85;Male;26;Italian;8;8;9;60;85;15;20,9;1;0,0;14;193,8;13,8;9,0;328,7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 105;85;Male;20;Not Italian;6;8;5;95;114;6;34,7;1;0,0;6;120,1;20,0;14,2;192,2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 106;85;Female;22;Italian;5;8;4;95;69;19;11,2;2;45,9;15;161,2;10,7;3,6;212,6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Sbj 107;85;Male;21;Italian;7;8;8;285;93;19;18,6;0;0,0;18;237,2;13,2;6,6;352,2;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 108;145;Male;20;Italian;7;6;5;200;69;13;21,1;1;0,0;13;247,9;19,1;2,2;279,2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Sbj 109;145;Male;21;Italian;7;8;4;0;22;4;30,5;0;0,0;4;98,4;24,6;5,1;117,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Sbj 110;145;Male;21;Italian;5;5;5;415;122;23;16,4;4;60,0;20;239,5;12,0;7,0;375,6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 111;145;Male;20;Italian;6;7;6;100;51;8;16,9;1;0,0;8;104,9;13,1;3,9;138,4;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 112;145;Female;23;Italian;5;7;8;125;55;10;13,5;0;0,0;10;124,8;12,5;2,0;146,0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 113;85;Female;21;Italian;9;7;6;110;101;26;19,5;7;71,4;26;284,6;10,9;8,4;505,2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Sbj 114;145;Male;21;Italian;5;8;4;135;150;23;20,4;1;0,0;22;370,7;16,9;5,2;481,7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Sbj 115;85;Female;21;Italian;2;7;8;270;60;11;21,3;2;110,1;11;174,2;15,8;5,9;235,6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 116;85;Female;21;Italian;7;8;8;240;38;12;23,0;3;42,3;11;162,1;14,7;10,4;267,3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Sbj 117;85;Male;38;Italian;2;2;3;480;150;29;14,6;5;66,2;26;310,1;11,9;4,5;425,1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
